0	8	8
7	7	15
14	2	9
21	6	8
28	9	15
35	5	14
42	14	19
49	22	36
56	38	60
63	80	118
70	91	171
77	153	244
84	231	384
91	301	532
98	297	598
105	302	599
112	361	663
119	393	754
126	285	678
133	198	483
140	141	339
147	93	234
154	97	190
161	75	172
168	65	140
175	55	120
182	50	105
189	45	95
196	38	83
203	41	79
210	42	83
217	35	77
224	22	57
231	32	54
238	21	53
245	15	36
252	10	25
259	10	20
266	4	14
273	5	9
280	4	9
287	1	5
294	7	8
301	6	13
308	13	19
315	5	18
322	8	13
329	11	19
336	20	31
343	15	35
350	12	27
357	17	29
364	0	17
